title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
Jana Gana Mana;2022;Teens;161 min;'Dramas', 'International Movies';June 2, 2022;8.3;As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the courtroom.;netflix;'Dramas', 'International Movies', Teens, As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the courtroom.
100 Days with Tata;2021;Teens;84 min;'Documentaries', 'International Movies';June 1, 2022;8.0;During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star.;netflix;'Documentaries', 'International Movies', Teens, During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star.
Anchorman: The Legend of Ron Burgundy;2004;Teens;95 min;'Comedies', 'Cult Movies';June 1, 2022;7.2;In 1970s San Diego, a hotshot anchor and his news team work hard and party harder until an ambitious new reporter shakes up the station with her talent.;netflix;'Comedies', 'Cult Movies', Teens, In 1970s San Diego, a hotshot anchor and his news team work hard and party harder until an ambitious new reporter shakes up the station with her talent.
Dumb and Dumber;1994;Teens;107 min;'Classic Movies', 'Comedies', 'Cult Movies';June 1, 2022;7.4;A lovesick fool and his rambunctious best friend get caught up in a criminal scheme after they attempt to return a briefcase to its attractive owner.;netflix;'Classic Movies', 'Comedies', 'Cult Movies', Teens, A lovesick fool and his rambunctious best friend get caught up in a criminal scheme after they attempt to return a briefcase to its attractive owner.
Kung Fu Panda 2;2011;Older Kids;93 min;'Children & Family Movies', 'Comedies';June 1, 2022;7.3;With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu.;netflix;'Children & Family Movies', 'Comedies', Older Kids, With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu.
Lean on Me;1989;Teens;109 min;'Dramas';June 1, 2022;7.3;When a tough-talking principal takes over a decaying high school, he's determined to do anything in his power to turn the school around.;netflix, hbo max;'Dramas', Teens, When a tough-talking principal takes over a decaying high school, he's determined to do anything in his power to turn the school around.
Léon: The Professional;1994;Adults;109 min;'Action & Adventure', 'Classic Movies', 'Cult Movies';June 1, 2022;8.5;When his neighbors are killed by a DEA agent, a hired assassin becomes the reluctant guardian of a young girl who begins to follow in his footsteps.;netflix;'Action & Adventure', 'Classic Movies', 'Cult Movies', Adults, When his neighbors are killed by a DEA agent, a hired assassin becomes the reluctant guardian of a young girl who begins to follow in his footsteps.
Mission: Impossible - Ghost Protocol;2011;Teens;134 min;'Action & Adventure';June 1, 2022;7.3;Super-agent Ethan Hunt and his team take on another deadly mission to prove their innocence when they are framed for bombing the Kremlin.;netflix;'Action & Adventure', Teens, Super-agent Ethan Hunt and his team take on another deadly mission to prove their innocence when they are framed for bombing the Kremlin.
National Lampoon's Christmas Vacation;1989;Teens;97 min;'Comedies';June 1, 2022;7.6;The Griswolds are hoping for a cozy Christmas at home, but Clark's cousin Eddie — and a few other surprises — make for a hectic holiday.;netflix, hbo max;'Comedies', Teens, The Griswolds are hoping for a cozy Christmas at home, but Clark's cousin Eddie — and a few other surprises — make for a hectic holiday.
Rise of the Guardians;2012;Older Kids;100 min;'Children & Family Movies';June 1, 2022;7.1;Jack Frost teams up with Santa, the Tooth Fairy and others to battle a malicious spirit determined to destroy the innocent beliefs of children.;netflix;'Children & Family Movies', Older Kids, Jack Frost teams up with Santa, the Tooth Fairy and others to battle a malicious spirit determined to destroy the innocent beliefs of children.
Steel Magnolias;1989;Older Kids;118 min;'Classic Movies', 'Comedies', 'Dramas';June 1, 2022;7.2;Six women in a small Southern town share gossip and solve problems at the local beauty parlor, anchoring each other through life's ups and downs.;netflix;'Classic Movies', 'Comedies', 'Dramas', Older Kids, Six women in a small Southern town share gossip and solve problems at the local beauty parlor, anchoring each other through life's ups and downs.
The Departed;2006;Adults;151 min;'Dramas', 'Thrillers';June 1, 2022;8.5;Two rookie Boston cops are sent deep undercover — one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.;netflix, hbo max;'Dramas', 'Thrillers', Adults, Two rookie Boston cops are sent deep undercover — one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.
The Fighter;2010;Adults;116 min;'Dramas', 'Sports Movies';June 1, 2022;7.9;To forge his own shot at greatness, a struggling boxer must overcome the will of his manager mother and the long shadow of his famous older brother.;netflix, hbo max;'Dramas', 'Sports Movies', Adults, To forge his own shot at greatness, a struggling boxer must overcome the will of his manager mother and the long shadow of his famous older brother.
The Hurt Locker;2008;Adults;131 min;'Action & Adventure', 'Dramas';June 1, 2022;7.6;During the Iraq War, an army sergeant finds himself at odds with his team due to his maverick personality and reckless methods of explosives disposal.;netflix;'Action & Adventure', 'Dramas', Adults, During the Iraq War, an army sergeant finds himself at odds with his team due to his maverick personality and reckless methods of explosives disposal.
Titanic;1997;Teens;195 min;'Action & Adventure', 'Dramas', 'Romantic Movies';June 1, 2022;7.8;On a doomed luxury liner, first-class passenger Rose finds a love to last a lifetime when she falls for penniless artist Jack just as disaster strikes.;netflix;'Action & Adventure', 'Dramas', 'Romantic Movies', Teens, On a doomed luxury liner, first-class passenger Rose finds a love to last a lifetime when she falls for penniless artist Jack just as disaster strikes.
Troy;2004;Adults;163 min;'Action & Adventure', 'Dramas';June 1, 2022;7.4;Queen Helen flees Sparta to be with her love, the Prince of Troy. In retaliation, the Greeks marshal their entire armada and stage a decade-long siege.;netflix, hbo max;'Action & Adventure', 'Dramas', Adults, Queen Helen flees Sparta to be with her love, the Prince of Troy. In retaliation, the Greeks marshal their entire armada and stage a decade-long siege.
All American;2021;Teens;"
                    New Season Added:";'TV Dramas', 'Teen TV Shows';May 31, 2022;7.4;Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.;netflix;'TV Dramas', 'Teen TV Shows', Teens, Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
Teenage Mutant Ninja Turtles;2012;Older Kids;1 Season;"'Crime TV Shows', ""Kids' TV"", 'TV Comedies'";May 31, 2022;7.9;A ninja master and the mutated turtles who were once his pets rise from the sewers of Manhattan to fight evil alien forces that threaten the city.;netflix;"'Crime TV Shows', ""Kids' TV"", 'TV Comedies', Older Kids, A ninja master and the mutated turtles who were once his pets rise from the sewers of Manhattan to fight evil alien forces that threaten the city."
Norm Macdonald: Nothing Special;2022;Adults;87 min;'Stand-Up Comedy';May 30, 2022;7.6;In his final comedy special, Norm Macdonald ponders casinos, cannibalism, living wills and why you have to be ready for whatever life throws your way.;netflix;'Stand-Up Comedy', Adults, In his final comedy special, Norm Macdonald ponders casinos, cannibalism, living wills and why you have to be ready for whatever life throws your way.
Stranger Things;2022;Teens;"
                    New Season Added:";'TV Horror', 'TV Mysteries', 'TV Sci-Fi & Fantasy';May 27, 2022;8.6;When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.;netflix;'TV Horror', 'TV Mysteries', 'TV Sci-Fi & Fantasy', Teens, When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.
Pokémon Master Journeys: The Series;2022;Older Kids;"
                    New Season Added:";"'Anime Series', ""Kids' TV""";May 26, 2022;7.4;As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!;netflix;"'Anime Series', ""Kids' TV"", Older Kids, As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
Somebody Feed Phil;2022;Teens;"
                    New Season Added:";'Docuseries', 'Reality TV';May 25, 2022;8.3;"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.";netflix;"'Docuseries', 'Reality TV', Teens, ""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more."
Ricky Gervais: SuperNature;2022;Adults;65 min;'Stand-Up Comedy';May 24, 2022;7.7;Ricky Gervais gives his take on the rules of comedy, spoiling his cats and how super actual nature is in his second Netflix stand-up special.;netflix;'Stand-Up Comedy', Adults, Ricky Gervais gives his take on the rules of comedy, spoiling his cats and how super actual nature is in his second Netflix stand-up special.
Sea of Love;2022;Kids;1 Season;"""Kids' TV""";May 23, 2022;8.6;Sea animal friends Bruda, Bobbi, Wayu and Puri go on mini adventures in the ocean, where relatable, everyday moments come with a splash of magic!;netflix;"""Kids' TV"", Kids, Sea animal friends Bruda, Bobbi, Wayu and Puri go on mini adventures in the ocean, where relatable, everyday moments come with a splash of magic!"
